seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,100,0.65,complete,4.17692,0.00228688,4.17244,4.18141,1.23808,2.93885,true,false,scipy_anchored_t2,true,1.14029e-06,1,0.0213524,1,1,0,2.216,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_0/metrics.json
0,100,0.65,ws_p_0.0,0.251814,0.00113991,0.24958,0.254048,1.23808,-0.986265,false,false,scipy_anchored_t2,true,0.000829814,0.99981,0.0588795,1,1,0,14.982,1,1,0,1,n_100/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_0/metrics.json
0,100,0.65,ws_p_0.1,0.246511,0.000752919,0.245035,0.247986,1.23808,-0.991568,false,false,scipy_anchored_t2,true,0.000578069,0.999899,0.0583778,0.997,0.997,0,15.8726,1,1,0,1,n_100/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_0/metrics.json
1,100,0.65,complete,6.38148,0.147984,6.09144,6.67153,1.23808,5.1434,true,false,scipy_anchored_t2,true,1.91395e-06,0.999997,0.027998,1,0.999,0.001,2.054,1,0.999,0.001,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_1/metrics.json
1,100,0.65,ws_p_0.0,0.249685,0.0011419,0.247447,0.251923,1.23808,-0.988394,false,false,scipy_anchored_t2,true,0.000895328,0.999774,0.0721341,0.999,0.999,0,14.975,1,1,0,1,n_100/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_1/metrics.json
1,100,0.65,ws_p_0.1,0.243107,0.000658502,0.241816,0.244397,1.23808,-0.994972,false,false,scipy_anchored_t2,true,0.000532335,0.999921,0.0751072,0.994,0.994,0,16.503,1,1,0,1,n_100/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_1/metrics.json
2,100,0.65,complete,4.19867,0.00223911,4.19428,4.20306,1.23808,2.96059,true,false,scipy_anchored_t2,true,8.80662e-07,1,0.0130714,1,1,0,2.182,1,1,0,1.001,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_2/metrics.json
2,100,0.65,ws_p_0.0,0.250606,0.00080423,0.24903,0.252183,1.23808,-0.987472,false,false,scipy_anchored_t2,true,0.000614139,0.999902,0.0651215,1,1,0,15.149,1,1,0,1.001,n_100/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_2/metrics.json
2,100,0.65,ws_p_0.1,0.249927,0.0013001,0.247379,0.252475,1.23808,-0.988151,false,false,scipy_anchored_t2,true,0.000996922,0.999707,0.0647883,0.999,0.999,0,15.2583,1,1,0,1.001,n_100/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_2/metrics.json
3,100,0.65,complete,4.52802,0.00181566,4.52446,4.53158,1.23808,3.28994,true,false,scipy_anchored_t2,true,5.25161e-07,1,0.0117095,1,1,0,2.184,1,1,0,1.001,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_3/metrics.json
3,100,0.65,ws_p_0.0,0.248529,0.000616974,0.24732,0.249738,1.23808,-0.989549,false,false,scipy_anchored_t2,true,0.000479049,0.999935,0.0418973,1,1,0,15.748,1,1,0,1.001,n_100/ws_p_0.0_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_3/metrics.json
