seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,100,0.55,complete,0.147642,0.0166151,0.115077,0.180207,0.401341,-0.253699,false,false,scipy_anchored_t2,true,0.0352159,0.943953,0.635233,1,1,0,17.187,1,1,0,1.05,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_0/metrics.json
0,100,0.55,ws_p_0.0,0.0604353,0.000199823,0.0600436,0.0608269,0.401341,-0.340906,false,false,scipy_anchored_t2,true,0.00143492,0.999792,0.135066,0.983,0.983,0,48.0173,1,1,0,1.049,n_100/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_0/metrics.json
0,100,0.55,ws_p_0.1,0.0651278,0.000198334,0.0647391,0.0655165,0.401341,-0.336214,false,false,scipy_anchored_t2,true,0.00134125,0.999817,0.0895408,0.98,0.98,0,47.1,1,1,0,1.05,n_100/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_0/metrics.json
1,100,0.55,complete,0.378473,0.0167708,0.345603,0.411343,0.401341,-0.0228688,false,false,scipy_anchored_t2,true,0.0126088,0.979231,0.896661,1,0.983,0.017,7.251,1,0.999,0.001,1.05,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_1/metrics.json
1,100,0.55,ws_p_0.0,0.0672313,0.000185979,0.0668668,0.0675958,0.401341,-0.33411,false,false,scipy_anchored_t2,true,0.00121682,0.999847,0.154337,0.959,0.959,0,44.3785,1,1,0,1.05,n_100/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_1/metrics.json
1,100,0.55,ws_p_0.1,0.066074,0.000157935,0.0657644,0.0663835,0.401341,-0.335267,false,false,scipy_anchored_t2,true,0.00105583,0.999886,0.193153,0.956,0.956,0,46.8776,1,1,0,1.05,n_100/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_1/metrics.json
2,100,0.55,complete,0.148863,0.00820101,0.132789,0.164937,0.401341,-0.252478,false,false,scipy_anchored_t2,true,0.0215315,0.971457,1.79,0.997,0.995,0.002,17.656,1,0.996,0.004,1.053,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_2/metrics.json
2,100,0.55,ws_p_0.0,0.0660901,0.000113313,0.065868,0.0663122,0.401341,-0.335251,false,false,scipy_anchored_t2,true,0.000781097,0.999942,0.102308,1,0.999,0.001,1,1,1,0,1,n_100/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_2/metrics.json
2,100,0.55,ws_p_0.1,0.0619838,8.45166e-05,0.0618181,0.0621494,0.401341,-0.339358,false,false,scipy_anchored_t2,true,0.000608475,0.999964,0.113915,0.971,0.971,0,46.8599,1,1,0,1.053,n_100/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_2/metrics.json
3,100,0.55,complete,0.428055,0.0149295,0.398794,0.457316,0.401341,0.0267136,true,false,scipy_anchored_t2,true,0.00867606,0.987153,0.678674,1,0.949,0.051,8.322,1,1,0,1.046,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_3/metrics.json
