seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,1000,0.8,complete,2.53894,0.148641,2.24761,2.83027,2.77259,-0.233648,false,false,scipy_anchored_t2,true,5.30194e-07,0.993635,0.0121351,1,1,0,2.001,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_0/metrics.json
0,1000,0.8,ws_p_0.0,0.969022,0.00582643,0.957602,0.980441,2.77259,-1.80357,false,false,scipy_anchored_t2,true,0.000220464,0.999943,0.027948,1,1,0,7.626,1,1,0,1,n_1000/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_0/metrics.json
0,1000,0.8,ws_p_0.1,0.886397,0.00347189,0.879592,0.893201,2.77259,-1.88619,false,false,scipy_anchored_t2,true,0.000167504,0.999941,0.03429,1,1,0,8.655,1,1,0,1,n_1000/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_0/metrics.json
1,1000,0.8,complete,0.1,0.0458052,0.0102234,0.189777,2.77259,-2.67259,false,false,scipy_anchored_t2,true,3.35591e-07,,0.0123797,1,1,0,2,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_1/metrics.json
1,1000,0.8,ws_p_0.0,0.949535,0.0104028,0.929146,0.969924,2.77259,-1.82305,false,false,scipy_anchored_t2,true,0.000438374,0.999717,0.0351909,1,1,0,8.077,1,1,0,1,n_1000/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_1/metrics.json
1,1000,0.8,ws_p_0.1,0.879045,0.00956649,0.860295,0.897795,2.77259,-1.89354,false,false,scipy_anchored_t2,true,0.000446889,0.999639,0.033695,1,1,0,8.981,1,1,0,1,n_1000/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_1/metrics.json
2,1000,0.8,complete,0.1,0.0458052,0.0102234,0.189777,2.77259,-2.67259,false,false,scipy_anchored_t2,true,3.35591e-07,,0.0117841,1,1,0,2,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_2/metrics.json
2,1000,0.8,ws_p_0.0,0.967797,0.00796996,0.952176,0.983417,2.77259,-1.80479,false,false,scipy_anchored_t2,true,0.000316826,0.999867,0.0221625,1,1,0,7.976,1,1,0,1,n_1000/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_2/metrics.json
2,1000,0.8,ws_p_0.1,0.851306,0.00521997,0.841075,0.861537,2.77259,-1.92128,false,false,scipy_anchored_t2,true,0.00026947,0.999839,0.0242703,1,1,0,9.229,1,1,0,1,n_1000/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_2/metrics.json
3,1000,0.8,complete,0.1,0.0458052,0.0102234,0.189777,2.77259,-2.67259,false,false,scipy_anchored_t2,true,3.35591e-07,,0.0103534,1,1,0,2,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_3/metrics.json
3,1000,0.8,ws_p_0.0,0.972658,0.0123731,0.948407,0.996909,2.77259,-1.79993,false,false,scipy_anchored_t2,true,0.000503293,0.999623,0.0160756,1,1,0,7.915,1,1,0,1,n_1000/ws_p_0.0_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_3/metrics.json
3,1000,0.8,ws_p_0.1,0.914739,0.00952783,0.896064,0.933413,2.77259,-1.85785,false,false,scipy_anchored_t2,true,0.00045265,0.999405,0.0168862,1,1,0,8.916,1,1,0,1,n_1000/ws_p_0.1_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_3/metrics.json
4,1000,0.8,complete,0.1,0.0458052,0.0102234,0.189777,2.77259,-2.67259,false,false,scipy_anchored_t2,true,3.35591e-07,,0.0114803,1,1,0,2,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_4/metrics.json
4,1000,0.8,ws_p_0.0,0.884444,0.00303838,0.878489,0.8904,2.77259,-1.88814,false,false,scipy_anchored_t2,true,0.00015148,0.999955,0.0363464,1,1,0,8.381,1,1,0,1,n_1000/ws_p_0.0_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p8/seed_4/metrics.json
