seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,100,0.8,complete,2.63924,0.14871,2.34778,2.93071,2.77259,-0.133347,false,false,scipy_anchored_t2,true,2.14281e-06,0.994792,0.0133313,1,1,0,2.003,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_0/metrics.json
0,100,0.8,ws_p_0.0,1.22961,0.0185958,1.19317,1.26606,2.77259,-1.54298,false,false,scipy_anchored_t2,true,0.000335682,0.999913,0.0223283,1,1,0,4.334,1,1,0,1,n_100/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_0/metrics.json
0,100,0.8,ws_p_0.1,1.16556,0.0045294,1.15668,1.17444,2.77259,-1.60703,false,false,scipy_anchored_t2,true,0.00012705,0.999979,0.0242188,1,1,0,4.615,1,1,0,1,n_100/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_0/metrics.json
1,100,0.8,complete,2.65775,0.148789,2.36612,2.94937,2.77259,-0.114843,false,false,scipy_anchored_t2,true,3.50549e-06,0.994982,0.0161335,1,1,0,2.007,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_1/metrics.json
1,100,0.8,ws_p_0.0,1.18446,0.0026781,1.17921,1.18971,2.77259,-1.58813,false,false,scipy_anchored_t2,true,7.10594e-05,0.999995,0.0179922,1,1,0,4.443,1,1,0,1,n_100/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_1/metrics.json
1,100,0.8,ws_p_0.1,1.20381,0.00291366,1.1981,1.20952,2.77259,-1.56877,false,false,scipy_anchored_t2,true,7.3368e-05,0.999994,0.0204368,1,1,0,4.477,1,1,0,1,n_100/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_1/metrics.json
2,100,0.8,complete,0.1,0.0458052,0.0102234,0.189777,2.77259,-2.67259,false,false,scipy_anchored_t2,true,3.35591e-07,,0.00969815,1,1,0,2,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_2/metrics.json
2,100,0.8,ws_p_0.0,1.22404,0.0109928,1.20249,1.24558,2.77259,-1.54855,false,false,scipy_anchored_t2,true,0.000231507,0.999956,0.0157798,1,1,0,4.43,1,1,0,1,n_100/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_2/metrics.json
2,100,0.8,ws_p_0.1,1.28116,0.0126951,1.25628,1.30604,2.77259,-1.49143,false,false,scipy_anchored_t2,true,0.000249509,0.999948,0.0241973,1,1,0,4.469,1,1,0,1,n_100/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_2/metrics.json
3,100,0.8,complete,2.61336,0.148692,2.32193,2.90479,2.77259,-0.15923,false,false,scipy_anchored_t2,true,1.67543e-06,0.994515,0.0101584,1,1,0,2.003,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_3/metrics.json
