seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,10,0.65,complete,0.407698,0.0082307,0.391566,0.42383,1.23808,-0.83038,false,false,scipy_anchored_t2,true,0.00414727,0.99564,0.599,1,0.991,0.009,5.401,1,0.994,0.006,1.175,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_0/metrics.json
0,10,0.65,ws_p_0.0,0.357299,0.00450335,0.348473,0.366126,1.23808,-0.880779,false,false,scipy_anchored_t2,true,0.00169937,0.999491,0.10454,1,1,0,5.455,1,1,0,1.194,n_10/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_0/metrics.json
0,10,0.65,ws_p_0.1,0.289684,0.00313124,0.283547,0.295821,1.23808,-0.948394,false,false,scipy_anchored_t2,true,0.00175627,0.999333,0.085216,1,1,0,5.987,1,1,0,1.191,n_10/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_0/metrics.json
1,10,0.65,complete,0.671125,0.0259761,0.620213,0.722037,1.23808,-0.566953,false,false,scipy_anchored_t2,true,0.00338448,0.997434,0.145826,1,1,0,3.373,1,1,0,1.187,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_1/metrics.json
1,10,0.65,ws_p_0.0,0.307401,0.00504725,0.297509,0.317294,1.23808,-0.930677,false,false,scipy_anchored_t2,true,0.00238011,0.998967,0.0281765,1,1,0,5.984,1,1,0,1.232,n_10/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_1/metrics.json
1,10,0.65,ws_p_0.1,0.320059,0.00381213,0.312587,0.327531,1.23808,-0.918019,false,false,scipy_anchored_t2,true,0.0017811,0.999369,0.0469656,1,1,0,5.813,1,1,0,1.237,n_10/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_1/metrics.json
2,10,0.65,complete,0.466726,0.0092872,0.448523,0.484928,1.23808,-0.771353,false,false,scipy_anchored_t2,true,0.00291792,0.995821,0.102978,1,0.996,0.004,4.303,1,0.996,0.004,1.182,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_2/metrics.json
2,10,0.65,ws_p_0.0,0.339475,0.00384364,0.331942,0.347008,1.23808,-0.898604,false,false,scipy_anchored_t2,true,0.00163237,0.999493,0.0930814,1,1,0,5.537,1,1,0,1.19,n_10/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_2/metrics.json
2,10,0.65,ws_p_0.1,0.319131,0.0024524,0.314324,0.323937,1.23808,-0.918948,false,false,scipy_anchored_t2,true,0.00118769,0.99969,0.0863425,1,1,0,5.755,1,1,0,1.193,n_10/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_2/metrics.json
3,10,0.65,complete,0.416608,0.00363131,0.409491,0.423726,1.23808,-0.82147,false,false,scipy_anchored_t2,true,0.00110525,0.999186,0.0427723,1,0.993,0.007,3.443,1,0.994,0.006,1.178,n_10/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_10/q_0p65/seed_3/metrics.json
