seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,100,0.8,complete,2.67421,0.148734,2.3827,2.96572,2.77259,-0.0983771,false,false,scipy_anchored_t2,true,3.05448e-06,0.995144,0.0166016,1,1,0,2.004,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_0/metrics.json
0,100,0.8,ws_p_0.0,0.859278,0.00806316,0.843474,0.875081,2.77259,-1.91331,false,false,scipy_anchored_t2,true,0.000373118,0.999818,0.0190389,1,1,0,5.594,1,1,0,1,n_100/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_0/metrics.json
0,100,0.8,ws_p_0.1,0.834831,0.00579293,0.823477,0.846185,2.77259,-1.93776,false,false,scipy_anchored_t2,true,0.000290428,0.99986,0.0275667,1,1,0,5.745,1,1,0,1,n_100/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_0/metrics.json
1,100,0.8,complete,3.67783,0.149017,3.38576,3.9699,2.77259,0.905239,true,false,scipy_anchored_t2,true,2.63621e-06,0.999348,0.0126136,1,1,0,2.013,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_1/metrics.json
1,100,0.8,ws_p_0.0,0.851996,0.00798692,0.836342,0.86765,2.77259,-1.92059,false,false,scipy_anchored_t2,true,0.000373225,0.999818,0.0158467,1,1,0,5.701,1,1,0,1,n_100/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_1/metrics.json
1,100,0.8,ws_p_0.1,0.809528,0.00746358,0.794899,0.824156,2.77259,-1.96306,false,false,scipy_anchored_t2,true,0.000410884,0.999628,0.0172164,1,1,0,6.029,1,1,0,1,n_100/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_1/metrics.json
2,100,0.8,complete,2.63924,0.14871,2.34778,2.93071,2.77259,-0.133347,false,false,scipy_anchored_t2,true,2.14281e-06,0.994792,0.0103352,1,1,0,2.004,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_2/metrics.json
2,100,0.8,ws_p_0.0,0.828835,0.00736885,0.814392,0.843277,2.77259,-1.94375,false,false,scipy_anchored_t2,true,0.000364179,0.999819,0.0162771,1,1,0,5.661,1,1,0,1,n_100/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_2/metrics.json
2,100,0.8,ws_p_0.1,0.849097,0.00703305,0.835313,0.862882,2.77259,-1.92349,false,false,scipy_anchored_t2,true,0.00034052,0.99983,0.0233468,1,1,0,5.78,1,1,0,1,n_100/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_2/metrics.json
3,100,0.8,complete,5.25505,0.149017,4.96298,5.54711,2.77259,2.48246,true,false,scipy_anchored_t2,true,2.84925e-06,0.999972,0.0102364,1,1,0,2.068,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p8/seed_3/metrics.json
