seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,1000,0.55,complete,0.631757,0.133313,0.370468,0.893045,0.401341,0.230415,true,false,scipy_anchored_t2,true,0.0201056,0.970103,0.371593,1,1,0,5.618,1,1,0,1.001,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_0/metrics.json
0,1000,0.55,ws_p_0.0,0.0534141,0.000686672,0.0520682,0.0547599,0.401341,-0.347927,false,false,scipy_anchored_t2,true,0.00608201,0.99709,0.650696,1,0.602,0.398,1,1,1,0,1,n_1000/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_0/metrics.json
0,1000,0.55,ws_p_0.1,0.0474881,0.000171674,0.0471516,0.0478246,0.401341,-0.353853,false,false,scipy_anchored_t2,true,0.00152245,0.999789,0.646384,0.093,0.093,0,91.3871,1,1,0,1.001,n_1000/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_0/metrics.json
1,1000,0.55,complete,0.565475,0.00817388,0.549454,0.581495,0.401341,0.164134,true,false,scipy_anchored_t2,true,0.00191503,0.997856,0.319862,1,1,0,11.456,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_1/metrics.json
1,1000,0.55,ws_p_0.0,0.0453293,0.000204498,0.0449285,0.0457302,0.401341,-0.356012,false,false,scipy_anchored_t2,true,0.00185966,0.999684,0.767985,0.088,0.088,0,89.9886,1,1,0,1,n_1000/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_1/metrics.json
1,1000,0.55,ws_p_0.1,0.0478055,9.94435e-05,0.0476106,0.0480004,0.401341,-0.353536,false,false,scipy_anchored_t2,true,0.000895865,0.99993,0.440744,0.235,0.235,0,90.0426,1,1,0,1,n_1000/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_1/metrics.json
2,1000,0.55,complete,0.548408,0.0272353,0.495028,0.601789,0.401341,0.147067,true,false,scipy_anchored_t2,true,0.0095674,0.975204,0.602784,1,0.999,0.001,7.575,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_2/metrics.json
2,1000,0.55,ws_p_0.0,0.0467906,0.000237068,0.046326,0.0472553,0.401341,-0.354551,false,false,scipy_anchored_t2,true,0.00206337,0.99959,0.475688,0.337,0.337,0,85.2374,1,1,0,1,n_1000/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_2/metrics.json
2,1000,0.55,ws_p_0.1,0.0415206,0.000103232,0.0413183,0.0417229,0.401341,-0.359821,false,false,scipy_anchored_t2,true,0.00100535,0.999912,0.392999,0.036,0.036,0,91.5556,1,1,0,1,n_1000/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_2/metrics.json
3,1000,0.55,complete,0.446567,0.0166983,0.413839,0.479295,0.401341,0.0452259,true,false,scipy_anchored_t2,true,0.00757596,0.985325,0.129295,1,0.997,0.003,11.226,1,0.999,0.001,1.001,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_1000/q_0p55/seed_3/metrics.json
