seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,1000,0.55,complete,0.0684346,0.00489882,0.058833,0.0780361,0.401341,-0.332907,false,false,scipy_anchored_t2,true,0.0184633,0.972792,0.694181,0.509,0.509,0,23.554,1,1,0,1.001,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_0/metrics.json
0,1000,0.55,ws_p_0.0,0.0747833,0.000170292,0.0744495,0.075117,0.401341,-0.326558,false,false,scipy_anchored_t2,true,0.00101027,0.999892,0.132295,0.968,0.968,0,65.2469,1,1,0,1.001,n_1000/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_0/metrics.json
0,1000,0.55,ws_p_0.1,0.0821039,0.000143974,0.0818218,0.0823861,0.401341,-0.319237,false,false,scipy_anchored_t2,true,0.000769344,0.999934,0.159602,0.743,0.743,0,62.8546,1,1,0,1.001,n_1000/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_0/metrics.json
1,1000,0.55,complete,0.134616,0.00796248,0.11901,0.150223,0.401341,-0.266725,false,false,scipy_anchored_t2,true,0.0148491,0.981601,0.672982,1,1,0,14.065,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_1/metrics.json
1,1000,0.55,ws_p_0.0,0.0798698,0.000108532,0.0796571,0.0800825,0.401341,-0.321472,false,false,scipy_anchored_t2,true,0.000604604,0.999961,0.195275,0.953,0.953,0,61.5268,1,1,0,1,n_1000/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_1/metrics.json
1,1000,0.55,ws_p_0.1,0.0810873,7.67318e-05,0.0809369,0.0812376,0.401341,-0.320254,false,false,scipy_anchored_t2,true,0.000415957,0.999981,0.164807,0.885,0.885,0,67.0034,1,1,0,1,n_1000/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_1/metrics.json
2,1000,0.55,complete,0.172548,0.0711221,0.0331517,0.311945,0.401341,-0.228793,false,false,scipy_anchored_t2,true,0.0593863,0.878029,0.702491,1,1,0,14.409,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_2/metrics.json
2,1000,0.55,ws_p_0.0,0.0633253,0.000273922,0.0627884,0.0638622,0.401341,-0.338016,false,false,scipy_anchored_t2,true,0.00193268,0.999638,0.591635,0.897,0.897,0,73.1839,1,1,0,1,n_1000/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_2/metrics.json
2,1000,0.55,ws_p_0.1,0.0830009,9.66824e-05,0.0828114,0.0831904,0.401341,-0.31834,false,false,scipy_anchored_t2,true,0.00050988,0.999971,0.239361,0.879,0.879,0,67.8919,1,1,0,1,n_1000/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_2/metrics.json
3,1000,0.55,complete,0.262863,0.0516984,0.161536,0.364191,0.401341,-0.138478,false,false,scipy_anchored_t2,true,0.0399495,0.938296,0.685558,1,1,0,12.644,1,1,0,1.001,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_3/metrics.json
3,1000,0.55,ws_p_0.0,0.0829616,0.000197109,0.0825753,0.0833479,0.401341,-0.31838,false,false,scipy_anchored_t2,true,0.00104385,0.999879,0.123845,0.994,0.994,0,59.8169,1,1,0,1.001,n_1000/ws_p_0.0_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_3/metrics.json
3,1000,0.55,ws_p_0.1,0.0811388,8.9226e-05,0.0809639,0.0813137,0.401341,-0.320203,false,false,scipy_anchored_t2,true,0.000483919,0.999974,0.122624,0.908,0.908,0,66.6388,1,1,0,1.001,n_1000/ws_p_0.1_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_3/metrics.json
4,1000,0.55,complete,3.21116,0.00602151,3.19936,3.22297,0.401341,2.80982,true,false,scipy_anchored_t2,true,5.16325e-05,0.999997,0.707035,1,1,0,3.037,1,1,0,1,n_1000/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_4/metrics.json
4,1000,0.55,ws_p_0.0,0.0749065,0.000287518,0.074343,0.0754701,0.401341,-0.326435,false,false,scipy_anchored_t2,true,0.00171848,0.999694,2.19478,0.957,0.957,0,63.9133,1,1,0,1,n_1000/ws_p_0.0_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_4/metrics.json
4,1000,0.55,ws_p_0.1,0.0850311,0.000353854,0.0843376,0.0857247,0.401341,-0.31631,false,false,scipy_anchored_t2,true,0.00178138,0.999625,3.21834,0.808,0.808,0,70.2017,1,1,0,1,n_1000/ws_p_0.1_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_1000/q_0p55/seed_4/metrics.json
