seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,100,0.55,complete,0.275206,0.0081863,0.259161,0.291251,0.401341,-0.126136,false,false,scipy_anchored_t2,true,0.0077307,0.990474,0.225545,1,0.979,0.021,12.219,1,0.983,0.017,1.05,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_0/metrics.json
0,100,0.55,ws_p_0.0,0.0396088,0.000165991,0.0392835,0.0399341,0.401341,-0.361733,false,false,scipy_anchored_t2,true,0.00166882,0.999761,0.184582,0.81,0.81,0,65.3593,1,1,0,1.052,n_100/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_0/metrics.json
0,100,0.55,ws_p_0.1,0.0351161,0.000340141,0.0344494,0.0357827,0.401341,-0.366225,false,false,scipy_anchored_t2,true,0.00334984,0.998883,0.250107,0.526,0.526,0,72.1217,1,1,0,1.051,n_100/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_0/metrics.json
1,100,0.55,complete,0.331657,0.00823206,0.315522,0.347791,0.401341,-0.0696845,false,false,scipy_anchored_t2,true,0.00561839,0.993351,0.537671,1,0.978,0.022,10.44,1,0.981,0.019,1.054,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_1/metrics.json
1,100,0.55,ws_p_0.0,0.0350529,0.000186373,0.0346876,0.0354182,0.401341,-0.366288,false,false,scipy_anchored_t2,true,0.0019337,0.999664,0.274706,0.674,0.674,0,71.8323,1,1,0,1.052,n_100/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_1/metrics.json
1,100,0.55,ws_p_0.1,0.043407,0.00025515,0.0429069,0.0439071,0.401341,-0.357934,false,false,scipy_anchored_t2,true,0.0023679,0.999484,0.229893,0.715,0.715,0,68.2657,1,1,0,1.05,n_100/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_1/metrics.json
2,100,0.55,complete,0.176043,0.00468303,0.166864,0.185222,0.401341,-0.225298,false,false,scipy_anchored_t2,true,0.00795495,0.992717,0.921932,0.994,0.985,0.009,17.0533,1,0.993,0.007,1.053,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_2/metrics.json
2,100,0.55,ws_p_0.0,0.0350043,0.000230238,0.034553,0.0354555,0.401341,-0.366337,false,false,scipy_anchored_t2,true,0.00252581,0.99949,0.230341,0.718,0.718,0,67.0348,1,1,0,1.053,n_100/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_2/metrics.json
2,100,0.55,ws_p_0.1,0.0272259,0.000104189,0.0270217,0.0274301,0.401341,-0.374115,false,false,scipy_anchored_t2,true,0.00119843,0.999875,0.293379,0.406,0.406,0,70.8128,1,1,0,1.059,n_100/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_2/metrics.json
3,100,0.55,complete,0.226222,0.00843165,0.209696,0.242748,0.401341,-0.175119,false,false,scipy_anchored_t2,true,0.0104675,0.98528,0.0692923,1,0.966,0.034,14.474,1,0.993,0.007,1.051,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_3/metrics.json
