seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,100,0.65,complete,6.22127,0.149009,5.92922,6.51332,1.23808,4.98319,true,false,scipy_anchored_t2,true,5.93464e-06,0.999996,2.2568,1,1,0,2.136,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_0/metrics.json
0,100,0.65,ws_p_0.0,0.405838,0.0022964,0.401338,0.410339,1.23808,-0.83224,false,false,scipy_anchored_t2,true,0.000826702,0.999852,0.0475442,1,1,0,9.629,1,1,0,1,n_100/ws_p_0.0_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_0/metrics.json
0,100,0.65,ws_p_0.1,0.423314,0.00205999,0.419276,0.427351,1.23808,-0.814765,false,false,scipy_anchored_t2,true,0.00072318,0.999873,0.0625832,1,1,0,9.586,1,1,0,1,n_100/ws_p_0.1_seed_0,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_0/metrics.json
1,100,0.65,complete,0.873024,0.0785831,0.719004,1.02704,1.23808,-0.365054,false,false,scipy_anchored_t2,true,0.000126512,0.932384,0.0129633,0.996,0.996,0,2.0743,1,1,0,1,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_1/metrics.json
1,100,0.65,ws_p_0.0,0.396543,0.00455172,0.387622,0.405464,1.23808,-0.841535,false,false,scipy_anchored_t2,true,0.00175367,0.999329,0.0521443,1,1,0,9.783,1,1,0,1,n_100/ws_p_0.0_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_1/metrics.json
1,100,0.65,ws_p_0.1,0.393273,0.00290415,0.387581,0.398965,1.23808,-0.844805,false,false,scipy_anchored_t2,true,0.00121418,0.999559,0.0492014,1,1,0,10.068,1,1,0,1,n_100/ws_p_0.1_seed_1,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_1/metrics.json
2,100,0.65,complete,1.9035,0.0226033,1.8592,1.9478,1.23808,0.665424,true,false,scipy_anchored_t2,true,0.000408153,0.999455,0.0257556,1,0.998,0.002,3.317,1,1,0,1.001,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_2/metrics.json
2,100,0.65,ws_p_0.0,0.40789,0.00213879,0.403698,0.412082,1.23808,-0.830188,false,false,scipy_anchored_t2,true,0.000828835,0.999818,0.0471139,1,1,0,9.594,1,1,0,1.001,n_100/ws_p_0.0_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_2/metrics.json
2,100,0.65,ws_p_0.1,0.402635,0.00189913,0.398913,0.406357,1.23808,-0.835443,false,false,scipy_anchored_t2,true,0.000790496,0.999766,0.04372,1,1,0,10.077,1,1,0,1.001,n_100/ws_p_0.1_seed_2,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_2/metrics.json
3,100,0.65,complete,5.16584,0.149019,4.87377,5.45791,1.23808,3.92776,true,false,scipy_anchored_t2,true,2.61767e-06,0.999967,0.0111736,1,1,0,2.018,1,1,0,1.001,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_3/metrics.json
3,100,0.65,ws_p_0.0,0.385627,0.00383427,0.378112,0.393142,1.23808,-0.852451,false,false,scipy_anchored_t2,true,0.00153752,0.999446,0.0438829,1,1,0,9.857,1,1,0,1.001,n_100/ws_p_0.0_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_3/metrics.json
3,100,0.65,ws_p_0.1,0.398165,0.000958567,0.396286,0.400044,1.23808,-0.839914,false,false,scipy_anchored_t2,true,0.000391146,0.99995,0.0375144,1,1,0,10.323,1,1,0,1.001,n_100/ws_p_0.1_seed_3,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_3/metrics.json
4,100,0.65,complete,4.91947,1.01029,2.93934,6.8996,1.23808,3.68139,true,false,scipy_anchored_t2,true,0.000122957,0.997503,0.498077,1,0.999,0.001,2.127,1,1,0,1.001,n_100/complete,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_4/metrics.json
4,100,0.65,ws_p_0.0,0.380374,0.00321899,0.374065,0.386683,1.23808,-0.857705,false,false,scipy_anchored_t2,true,0.00132679,0.999635,0.0329967,1,1,0,9.715,1,1,0,1.001,n_100/ws_p_0.0_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_4/metrics.json
4,100,0.65,ws_p_0.1,0.392449,0.00161026,0.389292,0.395605,1.23808,-0.84563,false,false,scipy_anchored_t2,true,0.000669215,0.999868,0.0248544,1,1,0,10.341,1,1,0,1.001,n_100/ws_p_0.1_seed_4,/Users/leo-minhkustermann/Developer/Game Theory Project/artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_4/metrics.json
