seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
0,10,0.65,ws_p_0.1,0.215329,0.00299886,0.209451,0.221207,1.23808,-1.02275,false,false,scipy_anchored_t2,true,0.00266093,0.997979,0.243394,1,1,0,7.728,1,1,0,1.197,n_10/ws_p_0.1_seed_0,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_0/metrics.json
1,10,0.65,complete,0.359101,0.00790067,0.343616,0.374586,1.23808,-0.878978,false,false,scipy_anchored_t2,true,0.00316719,0.994784,0.0648668,1,0.984,0.016,5.311,1,0.985,0.015,1.21,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_1/metrics.json
1,10,0.65,ws_p_0.0,0.25158,0.00284171,0.24601,0.25715,1.23808,-0.986498,false,false,scipy_anchored_t2,true,0.00211848,0.99862,0.0407119,0.999,0.999,0,7.29329,1,1,0,1.224,n_10/ws_p_0.0_seed_1,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_1/metrics.json
1,10,0.65,ws_p_0.1,0.236994,0.00106749,0.234902,0.239086,1.23808,-1.00108,false,false,scipy_anchored_t2,true,0.00084287,0.999829,0.0346676,1,1,0,7.475,1,1,0,1.223,n_10/ws_p_0.1_seed_1,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_1/metrics.json
2,10,0.65,complete,0.434423,0.00624807,0.422177,0.446669,1.23808,-0.803656,false,false,scipy_anchored_t2,true,0.00205461,0.997795,0.110169,1,0.988,0.012,4.813,1,0.993,0.007,1.184,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_2/metrics.json
2,10,0.65,ws_p_0.0,0.212504,0.00316511,0.2063,0.218707,1.23808,-1.02557,false,false,scipy_anchored_t2,true,0.00278161,0.99787,0.152478,1,1,0,7.798,1,1,0,1.191,n_10/ws_p_0.0_seed_2,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_2/metrics.json
2,10,0.65,ws_p_0.1,0.207646,0.00214286,0.203446,0.211846,1.23808,-1.03043,false,false,scipy_anchored_t2,true,0.00196595,0.998923,0.13551,1,1,0,8.069,1,1,0,1.189,n_10/ws_p_0.1_seed_2,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_2/metrics.json
3,10,0.65,complete,0.298024,0.00983408,0.278749,0.317298,1.23808,-0.940055,false,false,scipy_anchored_t2,true,0.00458508,0.988293,0.568806,1,0.996,0.004,4.676,1,0.997,0.003,1.187,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_3/metrics.json
3,10,0.65,ws_p_0.0,0.218081,0.0028641,0.212467,0.223694,1.23808,-1.02,false,false,scipy_anchored_t2,true,0.00258084,0.9982,0.0294521,1,1,0,7.668,1,1,0,1.193,n_10/ws_p_0.0_seed_3,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_3/metrics.json
3,10,0.65,ws_p_0.1,0.19715,0.0010356,0.195121,0.19918,1.23808,-1.04093,false,false,scipy_anchored_t2,true,0.0010817,0.999708,0.056217,1,1,0,7.985,1,1,0,1.188,n_10/ws_p_0.1_seed_3,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_3/metrics.json
4,10,0.65,complete,0.240218,0.00481281,0.230785,0.249651,1.23808,-0.99786,false,false,scipy_anchored_t2,true,0.00378665,0.995682,0.0930863,1,0.995,0.005,6.082,1,0.997,0.003,1.181,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_4/metrics.json
4,10,0.65,ws_p_0.0,0.209185,0.00510253,0.199185,0.219186,1.23808,-1.02889,false,false,scipy_anchored_t2,true,0.00462987,0.993693,0.0589168,0.997,0.996,0.001,8.01705,1,1,0,1.205,n_10/ws_p_0.0_seed_4,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_4/metrics.json
4,10,0.65,ws_p_0.1,0.179842,0.002241,0.17545,0.184234,1.23808,-1.05824,false,false,scipy_anchored_t2,true,0.00257183,0.998386,0.0491831,0.999,0.999,0,8.42442,1,1,0,1.199,n_10/ws_p_0.1_seed_4,artifacts/training_metrics_fair/grid_runs/n_10/q_0p65/seed_4/metrics.json
0,10,0.8,complete,2.21752,0.053242,2.11317,2.32187,2.77259,-0.555069,false,false,scipy_anchored_t2,true,0.000206162,0.99842,0.0184354,1,0.996,0.004,2.21,1,0.996,0.004,1.028,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_0/metrics.json
0,10,0.8,ws_p_0.0,0.870304,0.0191395,0.832792,0.907817,2.77259,-1.90228,false,false,scipy_anchored_t2,true,0.000639359,0.99961,0.0299121,1,1,0,3.015,1,1,0,1.028,n_10/ws_p_0.0_seed_0,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_0/metrics.json
0,10,0.8,ws_p_0.1,0.78403,0.0150237,0.754584,0.813476,2.77259,-1.98856,false,false,scipy_anchored_t2,true,0.000651126,0.999541,0.0258993,1,1,0,3.079,1,1,0,1.028,n_10/ws_p_0.1_seed_0,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_0/metrics.json
1,10,0.8,complete,2.51383,0.0164054,2.48167,2.54598,2.77259,-0.258763,false,false,scipy_anchored_t2,true,5.77689e-05,0.999918,0.0168014,1,0.999,0.001,2.253,1,0.999,0.001,1.035,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_1/metrics.json
1,10,0.8,ws_p_0.0,0.788353,0.0151669,0.758627,0.81808,2.77259,-1.98424,false,false,scipy_anchored_t2,true,0.000667773,0.999538,0.0212039,1,1,0,3.096,1,1,0,1.039,n_10/ws_p_0.0_seed_1,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_1/metrics.json
1,10,0.8,ws_p_0.1,0.735474,0.0198898,0.696491,0.774457,2.77259,-2.03711,false,false,scipy_anchored_t2,true,0.000875921,0.999255,0.016842,1,1,0,3.118,1,1,0,1.04,n_10/ws_p_0.1_seed_1,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_1/metrics.json
2,10,0.8,complete,2.87451,0.00834705,2.85815,2.89087,2.77259,0.101922,true,false,scipy_anchored_t2,true,1.27836e-05,0.99999,0.0234207,1,0.998,0.002,2.113,1,0.998,0.002,1.027,n_10/complete,artifacts/training_metrics_fair/grid_runs/n_10/q_0p8/seed_2/metrics.json
